               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.025459,            0.013367,            0.012709,              0.9037,             0.88602,              0.9208,             0.72129,            0.015197,           0.0044744,           0.0027802,            0.005743,            0.005743,            0.005743
                  88,            0.024753,            0.013416,            0.011938,             0.89507,             0.88386,             0.92182,              0.7197,            0.015258,           0.0045377,           0.0029444,           0.0056935,           0.0056935,           0.0056935
                  89,            0.024648,            0.013256,            0.011301,             0.88302,              0.8901,             0.91887,             0.72272,            0.015106,           0.0045325,           0.0023817,            0.005644,            0.005644,            0.005644
                  90,            0.024745,             0.01314,            0.010375,             0.89518,             0.88661,             0.92133,             0.72585,            0.015129,           0.0044881,           0.0024683,           0.0055945,           0.0055945,           0.0055945
                  91,            0.024231,            0.013057,             0.01156,             0.88465,             0.89264,             0.92161,             0.72679,            0.015182,           0.0044799,           0.0026076,            0.005545,            0.005545,            0.005545
                  92,            0.024148,            0.013061,            0.011609,             0.87166,             0.89482,             0.91996,              0.7275,            0.015122,           0.0044907,           0.0025002,           0.0054955,           0.0054955,           0.0054955
                  93,            0.024673,             0.01296,            0.011591,              0.8823,             0.89087,             0.92202,             0.72983,            0.015043,           0.0044653,           0.0026665,            0.005446,            0.005446,            0.005446
                  94,             0.02421,            0.012972,            0.010446,             0.87778,             0.89359,             0.92228,             0.72783,            0.015233,           0.0044751,           0.0030848,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024411,            0.013202,            0.011337,             0.88522,             0.89372,             0.92317,             0.72911,            0.015136,           0.0044525,           0.0026473,            0.005347,            0.005347,            0.005347
                  96,            0.024389,            0.013072,            0.010894,             0.88729,             0.89209,              0.9218,             0.72953,            0.015032,           0.0044622,           0.0023693,           0.0052975,           0.0052975,           0.0052975
                  97,            0.023986,            0.013176,            0.011668,             0.89575,             0.88916,             0.92404,              0.7308,            0.015023,           0.0044386,           0.0025167,            0.005248,            0.005248,            0.005248
                  98,             0.02377,            0.012997,            0.010497,              0.8843,             0.89417,             0.92064,             0.73267,            0.014841,            0.004434,           0.0022403,           0.0051985,           0.0051985,           0.0051985
                  99,             0.02407,            0.012901,            0.010496,             0.88581,             0.89881,             0.92319,             0.73156,            0.014918,           0.0044696,           0.0022666,            0.005149,            0.005149,            0.005149
                 100,            0.024164,             0.01282,            0.010234,             0.90038,             0.88347,             0.92407,             0.73401,            0.014843,           0.0044606,           0.0020495,           0.0050995,           0.0050995,           0.0050995
                 101,            0.023837,            0.012737,            0.010316,             0.88257,             0.90085,             0.92349,             0.73417,            0.014775,           0.0044344,           0.0022052,             0.00505,             0.00505,             0.00505
                 102,            0.024106,            0.012941,            0.010045,              0.8917,             0.89697,             0.92544,             0.73272,            0.014952,           0.0044884,           0.0021143,           0.0050005,           0.0050005,           0.0050005
                 103,            0.024028,            0.012906,            0.010387,             0.88058,             0.90241,             0.92459,             0.73351,            0.014975,           0.0044767,           0.0022567,            0.004951,            0.004951,            0.004951
                 104,            0.023842,            0.012773,            0.010456,             0.89749,             0.88816,             0.92579,             0.73476,            0.014867,           0.0044152,           0.0023745,           0.0049015,           0.0049015,           0.0049015
                 105,             0.02391,            0.012657,            0.010826,              0.8979,             0.89051,             0.92345,             0.73272,            0.014903,           0.0044553,           0.0025631,            0.004852,            0.004852,            0.004852
                 106,            0.023354,            0.012851,           0.0096382,             0.90516,             0.89118,             0.92713,             0.73482,             0.01481,           0.0044425,           0.0023642,           0.0048025,           0.0048025,           0.0048025
